Time,R,VM,VP,VT
1.72,1,0.31,1.67,0.36
1.73,1,0.29,1.71,0.36
1.74,1,0.27,1.75,0.36
1.75,1,0.25,1.79,0.35
1.76,1,0.23,1.83,0.35
1.77,1,0.21,1.87,0.34
1.78,1,0.19,1.9,0.34
1.79,1,0.17,1.94,0.33
1.8,1,0.15,1.98,0.33
1.81,1,0.13,2.01,0.32
1.82,1,0.11,2.05,0.31
1.83,1,0.09,2.08,0.3
1.84,1,0.06,2.11,0.29
1.85,1,0.04,2.15,0.28
1.86,1,0.02,2.18,0.28
1.87,1,-0.01,2.21,0.27
1.88,1,-0.03,2.24,0.25
1.89,1,-0.06,2.26,0.24
1.9,1,-0.08,2.29,0.23
1.91,1,-0.11,2.32,0.22
1.92,1,-0.13,2.34,0.21
1.93,1,-0.16,2.36,0.2
1.94,1,-0.19,2.38,0.18
1.95,1,-0.21,2.4,0.17
1.96,1,-0.24,2.42,0.15
1.97,1,-0.27,2.44,0.14
1.98,1,-0.29,2.45,0.12
1.99,1,-0.32,2.46,0.11
2,1,-0.35,2.48,0.09
2.01,1,-0.37,2.49,0.08
2.02,1,-0.4,2.49,0.06
2.03,1,-0.43,2.5,0.04
2.04,1,-0.45,2.5,0.03
2.05,1,-0.48,2.51,0.01
2.06,1,-0.5,2.51,-0.01
2.07,1,-0.53,2.5,-0.02
2.08,1,-0.56,2.5,-0.04
2.09,1,-0.58,2.49,-0.06
2.1,1,-0.6,2.49,-0.08
2.11,1,-0.63,2.48,-0.1
2.12,1,-0.65,2.46,-0.12
2.13,1,-0.68,2.45,-0.14
2.14,1,-0.7,2.43,-0.15
2.15,1,-0.72,2.42,-0.17
2.16,1,-0.74,2.4,-0.19
2.17,1,-0.76,2.37,-0.21
2.18,1,-0.78,2.35,-0.23
2.19,1,-0.8,2.32,-0.25
2.2,1,-0.82,2.29,-0.27
2.21,1,-0.84,2.26,-0.29
2.22,1,-0.86,2.23,-0.31
2.23,1,-0.88,2.19,-0.33
2.24,1,-0.89,2.16,-0.34
2.25,1,-0.91,2.12,-0.36
2.26,1,-0.92,2.08,-0.38
2.27,1,-0.93,2.03,-0.4
2.28,1,-0.95,1.99,-0.42
2.29,1,-0.96,1.94,-0.43
2.3,1,-0.97,1.89,-0.45
2.31,1,-0.97,1.84,-0.47
2.32,1,-0.98,1.79,-0.49
2.33,1,-0.99,1.73,-0.5
