Time,SET_1,CTRL_1,YAW,SET_2,CTRL_2,PITCH
7546.99,,92.235609,,,100,-78.5398
7547.12,,99.5,,,99.5,-78.5398
7547.13,,92.093334149176,,,99.5,-78.5398
7547.14,,80.330109155724,,,99.5,-78.5398
7547.15,,79.153786656379,,,99.5,-78.5398
7547.16,,79.036154406445,,,99.5,-78.5398
7547.17,,79.024391181451,,,99.5,-78.5398
7547.18,,79.023214858952,,,99.5,-78.5398
7547.19,,79.023097226702,,,99.5,-78.5398
7547.2,,79.023085463477,,,99.5,-78.5398
7547.21,,79.023084287155,,,99.5,-78.5398
7547.22,,79.023084169522,,,99.5,-78.5398
7547.23,,79.023084157759,,,99.5,-78.5398
7547.24,,79.023084156583,,,99.5,-78.5398
7547.25,,79.023084156465,,,99.5,-78.5398
7547.26,,79.023084156453,,,99.5,-78.5398
7547.27,,79.023084156452,,,99.5,-78.5398
7547.28,,79.023084156452,,,99.5,-78.5398
7547.29,,79.023084156452,,,99.5,-78.5398
7547.3,,79.023084156452,,,99.5,-78.5398
7547.31,,79.023084156452,,,99.5,-78.5398
7547.32,,79.023084156452,,,99.5,-78.5398
7547.33,,79.023084156452,,,99.5,-78.5398
7547.34,,79.023084156452,,,99.5,-78.5398
7547.35,,79.023084156452,,,99.5,-78.5398
7547.36,,79.023084156452,,,99.5,-78.5398
7547.37,,79.023084156452,,,99.5,-78.5398
7547.38,,79.023084156452,,,99.5,-78.5398
7547.39,,79.023084156452,,,99.5,-78.5398
7547.4,,79.023084156452,,,99.5,-78.5398
7547.41,,79.023084156452,,,99.5,-78.5398
7547.42,,79.023084156452,,,99.5,-78.5398
7547.43,,50,-0.61359231515426,,99.5,-78.5398
7547.44,,75.215389334571,-0.61359231515426,,99.5,-78.5398
7547.45,,77.966602265675,-0.61359231515426,,99.5,-78.5398
7547.46,,50,-1.2271846303085,,99.5,-78.5398
7547.47,,74.458411549703,-1.2271846303085,,99.5,-78.5398
7547.48,,77.208863123855,-1.2271846303085,,99.5,-78.5398
7547.49,,77.477579326527,-1.2271846303085,,99.5,-78.5398
7547.5,,50,-1.8407769454628,,99.5,-78.5398
7547.51,,73.693184653915,-1.8407769454628,,99.5,-78.5398
7547.52,,76.437641161456,-1.8407769454628,,99.5,-78.5398
7547.53,,50,-2.454369260617,,99.5,-78.5398
7547.54,,72.922448605868,-2.454369260617,,99.5,-78.5398
7547.55,,75.665868283831,-2.454369260617,,99.5,-78.5398
7547.56,,75.92755234214,-2.454369260617,,99.5,-78.5398
7547.57,,50,-3.0679615757713,,99.5,-77.926207684846
7547.58,,70.939050375926,-3.0679615757713,,99.5,-77.926207684846
7547.59,,74.595476855364,-3.0679615757713,,99.5,-77.926207684846
7547.6,,74.945297116448,-3.0679615757713,,99.5,-77.926207684846
7547.61,,74.964456755697,-3.0679615757713,,99.5,-77.926207684846
7547.62,,50,-3.6815538909255,,99.5,-77.926207684846
7547.63,,71.143222911572,-3.6815538909255,,99.5,-77.926207684846
7547.64,,63.489795590139,-3.6815538909255,,99.5,-77.312615369691
7547.65,,72.934197088105,-3.6815538909255,,99.5,-77.312615369691
7547.66,,50,-4.2951462060798,,99.5,-77.312615369691
7547.67,,59.759513969164,-4.2951462060798,,99.5,-76.699023054537
7547.68,,71.689117320534,-4.2951462060798,,99.5,-76.699023054537
7547.69,,50,-4.9087385212341,,99.5,-76.699023054537
7547.7,,58.784677088956,-4.9087385212341,,99.5,-76.085430739383
7547.71,,60.326156509533,-4.9087385212341,,99.5,-75.471838424229
7547.72,,70.683719726956,-4.9087385212341,,99.5,-75.471838424229
7547.73,,50,-5.5223308363883,,99.5,-74.858246109074
7547.74,,56.406150639433,-5.5223308363883,,99.5,-74.24465379392
7547.75,,69.248644156563,-5.5223308363883,,99.5,-74.24465379392
7547.76,,60.117316649166,-5.5223308363883,,99.5,-73.631061478766
7547.77,,50,-6.1359231515426,,99.5,-73.017469163612
7547.78,,54.944444469176,-6.1359231515426,,99.5,-72.403876848457
7547.79,,57.479127273879,-6.1359231515426,,99.5,-71.790284533303
7547.8,,57.542585312208,-6.1359231515426,,99.5,-71.176692218149
