Time,IN1,OUT1,YAW,IN2,OUT2,PITCH
427.27,NaN,50,NaN,NaN,100,-78.5398
427.36,NaN,50,NaN,NaN,97,-78.5398
427.37,NaN,50,NaN,NaN,97,-78.5398
427.38,NaN,50,NaN,NaN,97,-78.5398
427.39,NaN,50,NaN,NaN,97,-78.5398
427.4,NaN,50,NaN,NaN,97,-78.5398
427.41,NaN,50,NaN,NaN,97,-78.5398
427.42,NaN,50,NaN,NaN,97,-78.5398
427.43,NaN,50,NaN,NaN,97,-78.5398
427.44,NaN,50,NaN,NaN,97,-78.5398
427.45,NaN,50,NaN,NaN,97,-78.5398
427.46,NaN,50,NaN,NaN,97,-78.5398
427.47,NaN,50,NaN,NaN,97,-78.5398
427.48,NaN,50,NaN,NaN,97,-78.5398
427.49,NaN,50,NaN,NaN,97,-78.5398
427.5,NaN,50,NaN,NaN,97,-78.5398
427.51,NaN,50,NaN,NaN,97,-78.5398
427.52,NaN,50,NaN,NaN,97,-78.5398
427.53,NaN,50,NaN,NaN,97,-78.5398
427.54,NaN,50,NaN,NaN,97,-78.5398
427.55,NaN,50,NaN,NaN,97,-78.5398
427.56,NaN,50,NaN,NaN,97,-78.5398
427.57,NaN,50,NaN,NaN,97,-78.5398
427.58,NaN,50,NaN,NaN,97,-78.5398
427.59,NaN,50,NaN,NaN,97,-78.5398
427.6,NaN,59.553652932889,0.61359231515426,NaN,97,-78.5398
427.61,NaN,52.664529775042,0.61359231515426,NaN,97,-78.5398
427.62,NaN,50.94224898558,0.61359231515426,NaN,97,-78.5398
427.63,NaN,50.511678788214,0.61359231515426,NaN,97,-78.5398
427.64,NaN,50.404036238873,0.61359231515426,NaN,97,-78.5398
427.65,NaN,50.377125601538,0.61359231515426,NaN,97,-78.5398
427.66,NaN,50.370397942204,0.61359231515426,NaN,97,-78.5398
427.67,NaN,50.36871602737,0.61359231515426,NaN,97,-78.5398
427.68,NaN,59.921074317477,1.2271846303085,NaN,97,-78.5398
427.69,NaN,53.032501663008,1.2271846303085,NaN,97,-78.5398
427.7,NaN,51.310358499391,1.2271846303085,NaN,97,-78.5398
427.71,NaN,50.879822708487,1.2271846303085,NaN,97,-78.5398
427.72,NaN,60.330433786408,1.8407769454628,NaN,97,-78.5398
427.73,NaN,53.41095807206,1.8407769454628,NaN,97,-78.5398
427.74,NaN,51.681089143473,1.8407769454628,NaN,97,-78.5398
427.75,NaN,60.8123397042,2.454369260617,NaN,97,-78.5398
427.76,NaN,53.807551093328,2.454369260617,NaN,97,-78.5398
427.77,NaN,52.05635394061,2.454369260617,NaN,97,-78.5398
427.78,NaN,61.188629026866,3.0679615757713,NaN,97,-77.926207684846
427.79,NaN,54.177739965814,3.0679615757713,NaN,97,-77.312615369691
427.8,NaN,61.964050299533,3.6815538909255,NaN,97,-76.699023054537
427.81,NaN,54.6477118258,3.6815538909255,NaN,97,-76.085430739383
427.82,NaN,52.818627207366,3.6815538909255,NaN,97,-76.085430739383
427.83,NaN,61.89320468545,4.2951462060798,NaN,97,-76.699023054537
427.84,NaN,64.461518724431,4.9087385212341,NaN,97,-76.699023054537
427.85,NaN,55.824312015663,4.9087385212341,NaN,97,-76.699023054537
427.86,NaN,53.665010338471,4.9087385212341,NaN,97,-76.699023054537
427.87,NaN,62.68342994482,5.5223308363883,NaN,97,-76.085430739383
427.88,NaN,55.65590636258,5.5223308363883,NaN,97,-76.085430739383
427.89,NaN,63.436315464281,6.1359231515426,NaN,97,-76.085430739383
427.9,NaN,56.120244284264,6.1359231515426,NaN,97,-76.085430739383
427.91,NaN,63.850346719863,6.7495154666968,NaN,97,-75.471838424229
427.92,NaN,56.499868639979,6.7495154666968,NaN,97,-75.471838424229
427.93,NaN,64.225966912882,7.3631077818511,NaN,97,-74.858246109074
427.94,NaN,56.869890230053,7.3631077818511,NaN,97,-74.858246109074
427.95,NaN,64.602042284449,7.9767000970053,NaN,97,-74.858246109074
427.96,NaN,57.240025614765,7.9767000970053,NaN,97,-74.24465379392
427.97,NaN,64.924848961424,8.5902924121596,NaN,97,-74.24465379392
427.98,NaN,57.596843825828,8.5902924121596,NaN,97,-73.631061478766
427.99,NaN,65.301261486646,9.2038847273138,NaN,97,-73.017469163612
428,NaN,67.521590762331,9.8174770424681,NaN,97,-73.017469163612
428.01,NaN,58.798262359693,9.8174770424681,NaN,97,-72.403876848457
428.02,NaN,66.167587533651,10.431069357622,NaN,97,-71.790284533303
428.03,NaN,58.735878094343,10.431069357622,NaN,97,-71.790284533303
428.04,NaN,66.375126987541,11.044661672777,NaN,97,-71.176692218149
428.05,NaN,59.063879499635,11.044661672777,NaN,97,-70.563099902995
428.06,NaN,66.798909339797,11.658253987931,NaN,97,-69.94950758784
428.07,NaN,59.445941629518,11.658253987931,NaN,97,-69.94950758784
428.08,NaN,57.607699701948,11.658253987931,NaN,97,-69.335915272686
428.09,NaN,66.688915083252,12.271846303085,NaN,97,-68.108730642378
428.1,NaN,59.694559607201,12.271846303085,NaN,97,-68.108730642378
428.11,NaN,67.496783246052,12.885438618239,NaN,97,-67.495138327223
428.12,NaN,60.172643189721,12.885438618239,NaN,97,-66.881546012069
428.13,NaN,67.879769390972,13.499030933394,NaN,97,-65.654361381761
428.14,NaN,60.54450626777,13.499030933394,NaN,97,-65.040769066606
428.15,NaN,68.247980484231,14.112623248548,NaN,97,-64.427176751452
428.16,NaN,60.912675582904,14.112623248548,NaN,97,-63.813584436298
428.17,NaN,68.614179719312,14.726215563702,NaN,97,-63.199992121144
428.18,NaN,61.280341933494,14.726215563702,NaN,97,-62.586399805989
428.19,NaN,69.005127512687,15.339807878856,NaN,97,-61.359215175681
428.2,NaN,61.654195423657,15.339807878856,NaN,97,-60.745622860527
428.21,NaN,69.356584462856,15.953400194011,NaN,97,-60.132030545372
428.22,NaN,62.018176203019,15.953400194011,NaN,97,-59.518438230218
428.23,NaN,60.183574138059,15.953400194011,NaN,97,-58.29125359991
428.24,NaN,69.266571365675,16.566992509165,NaN,97,-57.677661284755
428.25,NaN,62.271789470543,16.566992509165,NaN,97,-56.450476654447
428.26,NaN,70.055812813745,17.180584824319,NaN,97,-55.836884339293
428.27,NaN,62.74521637438,17.180584824319,NaN,97,-54.609699708984
428.28,NaN,60.917567264539,17.180584824319,NaN,97,-53.99610739383
428.29,NaN,70.015400859087,17.794177139473,NaN,97,-52.768922763521
428.3,NaN,63.011229927535,17.794177139473,NaN,96.184038839436,-51.541738133213
428.31,NaN,70.805760453488,18.407769454628,NaN,97,-50.928145818058
428.32,NaN,63.484936367954,18.407769454628,NaN,95.897867244893,-49.70096118775
428.33,NaN,61.654730346571,18.407769454628,NaN,97,-49.087368872596
428.34,NaN,70.749083612335,19.021361769782,NaN,93.025889951857,-47.860184242287
428.35,NaN,63.746883699486,19.021361769782,NaN,97,-47.246591927133
428.36,NaN,61.996333721273,19.021361769782,NaN,89.971452634454,-46.019407296824
428.37,NaN,71.090327339159,19.634954084936,NaN,97,-45.40581498167
428.38,NaN,64.108311173011,19.634954084936,NaN,86.856093832083,-44.178630351362
428.39,NaN,62.362807131474,19.634954084936,NaN,81.7955191255,-42.951445721053
428.4,NaN,71.466553182546,20.24854640009,NaN,79.019656974298,-41.724261090745
428.41,NaN,64.478484175677,20.24854640009,NaN,76.710137384896,-40.497076460436
428.42,NaN,62.73146692396,20.24854640009,NaN,74.659269995592,-39.269891830128
428.43,NaN,62.294712611031,20.24854640009,NaN,72.561569713211,-38.042707199819
428.44,NaN,71.728261860589,20.862138715245,NaN,70.566527248568,-36.815522569511
428.45,NaN,64.820027887007,20.862138715245,NaN,68.44485730541,-35.588337939202
428.46,NaN,63.092969393612,20.862138715245,NaN,66.488272934787,-34.361153308894
428.47,NaN,62.661204770263,20.862138715245,NaN,64.507191007015,-33.133968678585
428.48,NaN,72.089464821865,21.475731030399,NaN,62.438798154983,-31.906784048277
428.49,NaN,65.186445169146,21.475731030399,NaN,60.274077433378,-30.679599417968
428.5,NaN,63.460690255966,21.475731030399,NaN,74.557005045531,-30.066007102814
428.51,NaN,63.029251527671,21.475731030399,NaN,61.049382307037,-28.838822472505
428.52,NaN,62.921391845597,21.475731030399,NaN,56.158892998461,-27.611637842197
428.53,NaN,62.894426925079,21.475731030399,NaN,69.757706916561,-26.998045527042
428.54,NaN,62.887685694949,21.475731030399,NaN,56.038642461136,-25.770860896734
428.55,NaN,62.886000387417,21.475731030399,NaN,51.037732078516,-24.543676266425
428.56,NaN,62.885579060534,21.475731030399,NaN,50,-23.316491636117
428.57,NaN,62.885473728813,21.475731030399,NaN,50,-22.089307005808
428.58,NaN,62.885447395883,21.475731030399,NaN,60.413284409173,-21.475714690654
428.59,NaN,62.88544081265,21.475731030399,NaN,50,-20.248530060346
428.6,NaN,53.31426794174,20.862138715245,NaN,50,-19.021345430037
428.61,NaN,60.216529407295,20.862138715245,NaN,55.365371222609,-18.407753114883
428.62,NaN,61.942094773684,20.862138715245,NaN,50,-17.180568484574
428.63,NaN,62.373486115281,20.862138715245,NaN,53.036565761854,-16.56697616942
428.64,NaN,62.48133395068,20.862138715245,NaN,55.128391732724,-15.953383854266
428.65,NaN,52.957483401667,20.24854640009,NaN,54.896745361139,-15.339791539112
428.66,NaN,59.851216730457,20.24854640009,NaN,54.101999525763,-14.726199223957
428.67,NaN,61.574650062655,20.24854640009,NaN,53.099975262321,-14.112606908803
428.68,NaN,52.438065396443,19.634954084936,NaN,52.060952576046,-13.499014593649
428.69,NaN,59.445245687332,19.634954084936,NaN,51.069201422984,-12.885422278495
428.7,NaN,61.197040760054,19.634954084936,NaN,50.031690656641,-12.27182996334
428.71,NaN,52.08505064392,19.021361769782,NaN,65.347710118336,-12.27182996334
428.72,NaN,59.080875457382,19.021361769782,NaN,52.853999880634,-11.658237648186
428.73,NaN,51.259537937095,18.407769454628,NaN,65.286297030391,-11.658237648186
428.74,NaN,58.598380738856,18.407769454628,NaN,68.39437131783,-11.658237648186
428.75,NaN,60.433091439297,18.407769454628,NaN,52.839573458106,-11.044645333032
428.76,NaN,51.341830230092,17.794177139473,NaN,64.515700030816,-11.044645333032
428.77,NaN,58.342837270286,17.794177139473,NaN,67.434731673994,-11.044645333032
428.78,NaN,60.093089030335,17.794177139473,NaN,68.164489584788,-11.044645333032
428.79,NaN,50.973281982989,17.180584824319,NaN,68.346929062487,-11.044645333032
428.8,NaN,57.974583666691,17.180584824319,NaN,68.392538931911,-11.044645333032
428.81,NaN,59.724909087616,17.180584824319,NaN,68.403941399268,-11.044645333032
428.82,NaN,50.592416068412,16.566992509165,NaN,68.406792016107,-11.044645333032
428.83,NaN,57.603250646227,16.566992509165,NaN,84.740778319383,-11.658237648186
428.84,NaN,59.355959290681,16.566992509165,NaN,73.257991640078,-11.658237648186
428.85,NaN,50.264245129697,15.953400194011,NaN,70.387294970252,-11.658237648186
428.86,NaN,57.245091369729,15.953400194011,NaN,85.979975451558,-12.27182996334
428.87,NaN,58.990302929737,15.953400194011,NaN,74.334781317065,-12.27182996334
428.88,NaN,59.426605819739,15.953400194011,NaN,87.761494305807,-12.885422278495
428.89,NaN,50,15.339807878856,NaN,75.54715142457,-12.885422278495
428.9,NaN,56.900276971548,15.339807878856,NaN,72.493565704261,-12.885422278495
428.91,NaN,58.627982788372,15.339807878856,NaN,88.075840481489,-13.499014593649
428.92,NaN,50,14.726215563702,NaN,76.392728362433,-13.499014593649
428.93,NaN,56.49942021693,14.726215563702,NaN,73.471950332669,-13.499014593649
428.94,NaN,58.251652057898,14.726215563702,NaN,89.095094382999,-14.112606908803
428.95,NaN,58.689710018141,14.726215563702,NaN,61.26377643441,-13.499014593649
428.96,NaN,58.799224508201,14.726215563702,NaN,86.01533870129,-14.112606908803
428.97,NaN,58.826603130716,14.726215563702,NaN,92.96876389973,-14.726199223957
428.98,NaN,50,14.112623248548,NaN,62.828680110166,-14.112606908803
428.99,NaN,56.172212655741,14.112623248548,NaN,70.847928663545,-14.112606908803
